Year,Category,Country,CommodityName,Amount
1996,Compensated cross-price elasticity with change in food prices,Australia,Clothing & footwear,0.04237543
1996,Compensated cross-price elasticity with change in food prices,Australia,Education,0.05003372
1996,Compensated cross-price elasticity with change in food prices,Australia,"Gross rent, fuel & power",0.05426434
1996,Compensated cross-price elasticity with change in food prices,Australia,House furnishing & operations,0.05416177
1996,Compensated cross-price elasticity with change in food prices,Australia,Medical care,0.05825192
1996,Compensated cross-price elasticity with change in food prices,Australia,Other,0.05796545
1996,Compensated cross-price elasticity with change in food prices,Australia,Recreation,0.06051974
1996,Compensated cross-price elasticity with change in food prices,Australia,Transport & communication,0.05463332
1996,Compensated cross-price elasticity with change in food prices,Austria,Clothing & footwear,0.04465078
1996,Compensated cross-price elasticity with change in food prices,Austria,Education,0.05271368
1996,Compensated cross-price elasticity with change in food prices,Austria,"Gross rent, fuel & power",0.05719376
1996,Compensated cross-price elasticity with change in food prices,Austria,House furnishing & operations,0.05708492
1996,Compensated cross-price elasticity with change in food prices,Austria,Medical care,0.0614335
1996,Compensated cross-price elasticity with change in food prices,Austria,Other,0.06112836
1996,Compensated cross-price elasticity with change in food prices,Austria,Recreation,0.06385214
1996,Compensated cross-price elasticity with change in food prices,Austria,Transport & communication,0.05758537
1996,Compensated cross-price elasticity with change in food prices,Azerbaijan,Clothing & footwear,0.25712701
1996,Compensated cross-price elasticity with change in food prices,Azerbaijan,Education,0.30163637
1996,Compensated cross-price elasticity with change in food prices,Azerbaijan,"Gross rent, fuel & power",0.346229
1996,Compensated cross-price elasticity with change in food prices,Azerbaijan,House furnishing & operations,0.34484451
1996,Compensated cross-price elasticity with change in food prices,Azerbaijan,Medical care,0.42076889
1996,Compensated cross-price elasticity with change in food prices,Azerbaijan,Other,0.41359738
1996,Compensated cross-price elasticity with change in food prices,Azerbaijan,Recreation,0.49489094
1996,Compensated cross-price elasticity with change in food prices,Azerbaijan,Transport & communication,0.35137398
1996,Compensated cross-price elasticity with change in food prices,Bahamas,Clothing & footwear,0.06325478
1996,Compensated cross-price elasticity with change in food prices,Bahamas,Education,0.07460444
1996,Compensated cross-price elasticity with change in food prices,Bahamas,"Gross rent, fuel & power",0.08121911
1996,Compensated cross-price elasticity with change in food prices,Bahamas,House furnishing & operations,0.08105567
1996,Compensated cross-price elasticity with change in food prices,Bahamas,Medical care,0.08769528
1996,Compensated cross-price elasticity with change in food prices,Bahamas,Other,0.08722191
1996,Compensated cross-price elasticity with change in food prices,Bahamas,Recreation,0.09148816
1996,Compensated cross-price elasticity with change in food prices,Bahamas,Transport & communication,0.0818083
1996,Compensated cross-price elasticity with change in food prices,Bahrain,Clothing & footwear,0.14278499
1996,Compensated cross-price elasticity with change in food prices,Bahrain,Education,0.16786655
1996,Compensated cross-price elasticity with change in food prices,Bahrain,"Gross rent, fuel & power",0.18590737
1996,Compensated cross-price elasticity with change in food prices,Bahrain,House furnishing & operations,0.1854242
1996,Compensated cross-price elasticity with change in food prices,Bahrain,Medical care,0.20686247
1996,Compensated cross-price elasticity with change in food prices,Bahrain,Other,0.20520075
1996,Compensated cross-price elasticity with change in food prices,Bahrain,Recreation,0.22103198
1996,Compensated cross-price elasticity with change in food prices,Bahrain,Transport & communication,0.1876664
1996,Compensated cross-price elasticity with change in food prices,Bangladesh,Clothing & footwear,0.27786146
1996,Compensated cross-price elasticity with change in food prices,Bangladesh,Education,0.32592273
1996,Compensated cross-price elasticity with change in food prices,Bangladesh,"Gross rent, fuel & power",0.37733486
1996,Compensated cross-price elasticity with change in food prices,Bangladesh,House furnishing & operations,0.37568627
1996,Compensated cross-price elasticity with change in food prices,Bangladesh,Medical care,0.47152303
1996,Compensated cross-price elasticity with change in food prices,Bangladesh,Other,0.4619721
1996,Compensated cross-price elasticity with change in food prices,Bangladesh,Recreation,0.57711424
1996,Compensated cross-price elasticity with change in food prices,Bangladesh,Transport & communication,0.38349178
1996,Compensated cross-price elasticity with change in food prices,Barbados ,Clothing & footwear,0.0340577
1996,Compensated cross-price elasticity with change in food prices,Barbados ,Education,0.04023169
1996,Compensated cross-price elasticity with change in food prices,Barbados ,"Gross rent, fuel & power",0.04357086
1996,Compensated cross-price elasticity with change in food prices,Barbados ,House furnishing & operations,0.04349049
1996,Compensated cross-price elasticity with change in food prices,Barbados ,Medical care,0.04667292
1996,Compensated cross-price elasticity with change in food prices,Barbados ,Other,0.0464515
1996,Compensated cross-price elasticity with change in food prices,Barbados ,Recreation,0.04841788
1996,Compensated cross-price elasticity with change in food prices,Barbados ,Transport & communication,0.04385973
1996,Compensated cross-price elasticity with change in food prices,Belarus,Clothing & footwear,0.17162107
1996,Compensated cross-price elasticity with change in food prices,Belarus,Education,0.20160568
1996,Compensated cross-price elasticity with change in food prices,Belarus,"Gross rent, fuel & power",0.22496158
1996,Compensated cross-price elasticity with change in food prices,Belarus,House furnishing & operations,0.22431496
1996,Compensated cross-price elasticity with change in food prices,Belarus,Medical care,0.25421005
1996,Compensated cross-price elasticity with change in food prices,Belarus,Other,0.2518013
1996,Compensated cross-price elasticity with change in food prices,Belarus,Recreation,0.27541995
1996,Compensated cross-price elasticity with change in food prices,Belarus,Transport & communication,0.22732584
1996,Compensated cross-price elasticity with change in food prices,Belgium,Clothing & footwear,0.04776171
1996,Compensated cross-price elasticity with change in food prices,Belgium,Education,0.05637683
1996,Compensated cross-price elasticity with change in food prices,Belgium,"Gross rent, fuel & power",0.06120196
1996,Compensated cross-price elasticity with change in food prices,Belgium,House furnishing & operations,0.06108441
1996,Compensated cross-price elasticity with change in food prices,Belgium,Medical care,0.06579366
1996,Compensated cross-price elasticity with change in food prices,Belgium,Other,0.06546235
1996,Compensated cross-price elasticity with change in food prices,Belgium,Recreation,0.06842422
1996,Compensated cross-price elasticity with change in food prices,Belgium,Transport & communication,0.06162504
1996,Compensated cross-price elasticity with change in food prices,Belize,Clothing & footwear,0.18054144
1996,Compensated cross-price elasticity with change in food prices,Belize,Education,0.21203939
1996,Compensated cross-price elasticity with change in food prices,Belize,"Gross rent, fuel & power",0.23719773
1996,Compensated cross-price elasticity with change in food prices,Belize,House furnishing & operations,0.23649367
1996,Compensated cross-price elasticity with change in food prices,Belize,Medical care,0.26950429
1996,Compensated cross-price elasticity with change in food prices,Belize,Other,0.26680922
1996,Compensated cross-price elasticity with change in food prices,Belize,Recreation,0.293509
1996,Compensated cross-price elasticity with change in food prices,Belize,Transport & communication,0.23977569
1996,Compensated cross-price elasticity with change in food prices,Benin,Clothing & footwear,0.31741253
1996,Compensated cross-price elasticity with change in food prices,Benin,Education,0.37231909
1996,Compensated cross-price elasticity with change in food prices,Benin,"Gross rent, fuel & power",0.43929981
1996,Compensated cross-price elasticity with change in food prices,Benin,House furnishing & operations,0.43700149
1996,Compensated cross-price elasticity with change in food prices,Benin,Medical care,0.59109274
1996,Compensated cross-price elasticity with change in food prices,Benin,Other,0.57361241
1996,Compensated cross-price elasticity with change in food prices,Benin,Recreation,0.8280866
1996,Compensated cross-price elasticity with change in food prices,Benin,Transport & communication,0.44797863
1996,Compensated cross-price elasticity with change in food prices,Bermuda ,Clothing & footwear,0.03574743
1996,Compensated cross-price elasticity with change in food prices,Bermuda ,Education,0.04222364
1996,Compensated cross-price elasticity with change in food prices,Bermuda ,"Gross rent, fuel & power",0.04574134
1996,Compensated cross-price elasticity with change in food prices,Bermuda ,House furnishing & operations,0.04565655
1996,Compensated cross-price elasticity with change in food prices,Bermuda ,Medical care,0.0490188
1996,Compensated cross-price elasticity with change in food prices,Bermuda ,Other,0.04878456
1996,Compensated cross-price elasticity with change in food prices,Bermuda ,Recreation,0.05086647
1996,Compensated cross-price elasticity with change in food prices,Bermuda ,Transport & communication,0.04604615
1996,Compensated cross-price elasticity with change in food prices,Bolivia,Clothing & footwear,0.24262315
1996,Compensated cross-price elasticity with change in food prices,Bolivia,Education,0.28465879
1996,Compensated cross-price elasticity with change in food prices,Bolivia,"Gross rent, fuel & power",0.32493383
1996,Compensated cross-price elasticity with change in food prices,Bolivia,House furnishing & operations,0.32370989
1996,Compensated cross-price elasticity with change in food prices,Bolivia,Medical care,0.38846399
1996,Compensated cross-price elasticity with change in food prices,Bolivia,Other,0.3825471
1996,Compensated cross-price elasticity with change in food prices,Bolivia,Recreation,0.44734744
1996,Compensated cross-price elasticity with change in food prices,Bolivia,Transport & communication,0.32946766
1996,Compensated cross-price elasticity with change in food prices,Botswana,Clothing & footwear,0.19055382
1996,Compensated cross-price elasticity with change in food prices,Botswana,Education,0.22374953
1996,Compensated cross-price elasticity with change in food prices,Botswana,"Gross rent, fuel & power",0.25102921
1996,Compensated cross-price elasticity with change in food prices,Botswana,House furnishing & operations,0.25025628
1996,Compensated cross-price elasticity with change in food prices,Botswana,Medical care,0.28710258
1996,Compensated cross-price elasticity with change in food prices,Botswana,Other,0.28404719
1996,Compensated cross-price elasticity with change in food prices,Botswana,Recreation,0.3146978
1996,Compensated cross-price elasticity with change in food prices,Botswana,Transport & communication,0.2538641
1996,Compensated cross-price elasticity with change in food prices,Brazil,Clothing & footwear,0.16468254
1996,Compensated cross-price elasticity with change in food prices,Brazil,Education,0.19348919
1996,Compensated cross-price elasticity with change in food prices,Brazil,"Gross rent, fuel & power",0.21549714
1996,Compensated cross-price elasticity with change in food prices,Brazil,House furnishing & operations,0.21489281
1996,Compensated cross-price elasticity with change in food prices,Brazil,Medical care,0.24254162
1996,Compensated cross-price elasticity with change in food prices,Brazil,Other,0.24033568
1996,Compensated cross-price elasticity with change in food prices,Brazil,Recreation,0.26180376
1996,Compensated cross-price elasticity with change in food prices,Brazil,Transport & communication,0.21770436
1996,Compensated cross-price elasticity with change in food prices,Bulgaria,Clothing & footwear,0.16413441
1996,Compensated cross-price elasticity with change in food prices,Bulgaria,Education,0.19284795
1996,Compensated cross-price elasticity with change in food prices,Bulgaria,"Gross rent, fuel & power",0.21475136
1996,Compensated cross-price elasticity with change in food prices,Bulgaria,House furnishing & operations,0.21415029
1996,Compensated cross-price elasticity with change in food prices,Bulgaria,Medical care,0.24162784
1996,Compensated cross-price elasticity with change in food prices,Bulgaria,Other,0.23943723
1996,Compensated cross-price elasticity with change in food prices,Bulgaria,Recreation,0.26074378
1996,Compensated cross-price elasticity with change in food prices,Bulgaria,Transport & communication,0.21694651
1996,Compensated cross-price elasticity with change in food prices,Cameroon,Clothing & footwear,0.24735742
1996,Compensated cross-price elasticity with change in food prices,Cameroon,Education,0.29019969
1996,Compensated cross-price elasticity with change in food prices,Cameroon,"Gross rent, fuel & power",0.33184606
1996,Compensated cross-price elasticity with change in food prices,Cameroon,House furnishing & operations,0.3305717
1996,Compensated cross-price elasticity with change in food prices,Cameroon,Medical care,0.3987611
1996,Compensated cross-price elasticity with change in food prices,Cameroon,Other,0.3924647
1996,Compensated cross-price elasticity with change in food prices,Cameroon,Recreation,0.46215652
1996,Compensated cross-price elasticity with change in food prices,Cameroon,Transport & communication,0.33657151
1996,Compensated cross-price elasticity with change in food prices,Canada,Clothing & footwear,0.03937163
1996,Compensated cross-price elasticity with change in food prices,Canada,Education,0.04649485
1996,Compensated cross-price elasticity with change in food prices,Canada,"Gross rent, fuel & power",0.05039987
1996,Compensated cross-price elasticity with change in food prices,Canada,House furnishing & operations,0.05030544
1996,Compensated cross-price elasticity with change in food prices,Canada,Medical care,0.05406118
1996,Compensated cross-price elasticity with change in food prices,Canada,Other,0.05379877
1996,Compensated cross-price elasticity with change in food prices,Canada,Recreation,0.05613512
1996,Compensated cross-price elasticity with change in food prices,Canada,Transport & communication,0.05073943
1996,Compensated cross-price elasticity with change in food prices,Chile,Clothing & footwear,0.14151783
1996,Compensated cross-price elasticity with change in food prices,Chile,Education,0.16638338
1996,Compensated cross-price elasticity with change in food prices,Chile,"Gross rent, fuel & power",0.18420718
1996,Compensated cross-price elasticity with change in food prices,Chile,House furnishing & operations,0.18373049
1996,Compensated cross-price elasticity with change in food prices,Chile,Medical care,0.20484578
1996,Compensated cross-price elasticity with change in food prices,Chile,Other,0.20321167
1996,Compensated cross-price elasticity with change in food prices,Chile,Recreation,0.21876221
1996,Compensated cross-price elasticity with change in food prices,Chile,Transport & communication,0.1859423
1996,Compensated cross-price elasticity with change in food prices,Congo,Clothing & footwear,0.28765022
1996,Compensated cross-price elasticity with change in food prices,Congo,Education,0.33739614
1996,Compensated cross-price elasticity with change in food prices,Congo,"Gross rent, fuel & power",0.3923237
1996,Compensated cross-price elasticity with change in food prices,Congo,House furnishing & operations,0.39053403
1996,Compensated cross-price elasticity with change in food prices,Congo,Medical care,0.49784358
1996,Compensated cross-price elasticity with change in food prices,Congo,Other,0.4868422
1996,Compensated cross-price elasticity with change in food prices,Congo,Recreation,0.62431642
1996,Compensated cross-price elasticity with change in food prices,Congo,Transport & communication,0.39902443
1996,Compensated cross-price elasticity with change in food prices,Cote d'Ivoire,Clothing & footwear,0.2545723
1996,Compensated cross-price elasticity with change in food prices,Cote d'Ivoire,Education,0.29864537
1996,Compensated cross-price elasticity with change in food prices,Cote d'Ivoire,"Gross rent, fuel & power",0.34245199
1996,Compensated cross-price elasticity with change in food prices,Cote d'Ivoire,House furnishing & operations,0.34109711
1996,Compensated cross-price elasticity with change in food prices,Cote d'Ivoire,Medical care,0.41490945
1996,Compensated cross-price elasticity with change in food prices,Cote d'Ivoire,Other,0.40797969
1996,Compensated cross-price elasticity with change in food prices,Cote d'Ivoire,Recreation,0.48602322
1996,Compensated cross-price elasticity with change in food prices,Cote d'Ivoire,Transport & communication,0.34748399
1996,Compensated cross-price elasticity with change in food prices,Czech Republic,Clothing & footwear,0.09078737
1996,Compensated cross-price elasticity with change in food prices,Czech Republic,Education,0.1069403
1996,Compensated cross-price elasticity with change in food prices,Czech Republic,"Gross rent, fuel & power",0.11705257
1996,Compensated cross-price elasticity with change in food prices,Czech Republic,House furnishing & operations,0.11679606
1996,Compensated cross-price elasticity with change in food prices,Czech Republic,Medical care,0.12750288
1996,Compensated cross-price elasticity with change in food prices,Czech Republic,Other,0.12671962
1996,Compensated cross-price elasticity with change in food prices,Czech Republic,Recreation,0.13389427
1996,Compensated cross-price elasticity with change in food prices,Czech Republic,Transport & communication,0.11798016
1996,Compensated cross-price elasticity with change in food prices,Denmark,Clothing & footwear,0.03245004
1996,Compensated cross-price elasticity with change in food prices,Denmark,Education,0.03833616
1996,Compensated cross-price elasticity with change in food prices,Denmark,"Gross rent, fuel & power",0.04150665
1996,Compensated cross-price elasticity with change in food prices,Denmark,House furnishing & operations,0.04143045
1996,Compensated cross-price elasticity with change in food prices,Denmark,Medical care,0.0444439
1996,Compensated cross-price elasticity with change in food prices,Denmark,Other,0.0442345
1996,Compensated cross-price elasticity with change in food prices,Denmark,Recreation,0.04609272
1996,Compensated cross-price elasticity with change in food prices,Denmark,Transport & communication,0.0417805
1996,Compensated cross-price elasticity with change in food prices,Dominica,Clothing & footwear,0.17122018
1996,Compensated cross-price elasticity with change in food prices,Dominica,Education,0.20113675
1996,Compensated cross-price elasticity with change in food prices,Dominica,"Gross rent, fuel & power",0.22441351
1996,Compensated cross-price elasticity with change in food prices,Dominica,House furnishing & operations,0.22376939
1996,Compensated cross-price elasticity with change in food prices,Dominica,Medical care,0.25353063
1996,Compensated cross-price elasticity with change in food prices,Dominica,Other,0.25113406
1996,Compensated cross-price elasticity with change in food prices,Dominica,Recreation,0.2746229
1996,Compensated cross-price elasticity with change in food prices,Dominica,Transport & communication,0.22676849
1996,Compensated cross-price elasticity with change in food prices,Ecuador,Clothing & footwear,0.2409009
1996,Compensated cross-price elasticity with change in food prices,Ecuador,Education,0.28264329
1996,Compensated cross-price elasticity with change in food prices,Ecuador,"Gross rent, fuel & power",0.32242824
1996,Compensated cross-price elasticity with change in food prices,Ecuador,House furnishing & operations,0.32122219
1996,Compensated cross-price elasticity with change in food prices,Ecuador,Medical care,0.38477317
1996,Compensated cross-price elasticity with change in food prices,Ecuador,Other,0.37898784
1996,Compensated cross-price elasticity with change in food prices,Ecuador,Recreation,0.44211222
1996,Compensated cross-price elasticity with change in food prices,Ecuador,Transport & communication,0.32689415
1996,Compensated cross-price elasticity with change in food prices,Egypt,Clothing & footwear,0.18037611
1996,Compensated cross-price elasticity with change in food prices,Egypt,Education,0.21184603
1996,Compensated cross-price elasticity with change in food prices,Egypt,"Gross rent, fuel & power",0.23697022
1996,Compensated cross-price elasticity with change in food prices,Egypt,House furnishing & operations,0.23626726
1996,Compensated cross-price elasticity with change in food prices,Egypt,Medical care,0.26921765
1996,Compensated cross-price elasticity with change in food prices,Egypt,Other,0.26652818
1996,Compensated cross-price elasticity with change in food prices,Egypt,Recreation,0.29316731
1996,Compensated cross-price elasticity with change in food prices,Egypt,Transport & communication,0.2395441
1996,Compensated cross-price elasticity with change in food prices,Estonia,Clothing & footwear,0.1322409
1996,Compensated cross-price elasticity with change in food prices,Estonia,Education,0.1555231
1996,Compensated cross-price elasticity with change in food prices,Estonia,"Gross rent, fuel & power",0.17179724
1996,Compensated cross-price elasticity with change in food prices,Estonia,House furnishing & operations,0.17136639
1996,Compensated cross-price elasticity with change in food prices,Estonia,Medical care,0.19022457
1996,Compensated cross-price elasticity with change in food prices,Estonia,Other,0.18878151
1996,Compensated cross-price elasticity with change in food prices,Estonia,Recreation,0.20240495
1996,Compensated cross-price elasticity with change in food prices,Estonia,Transport & communication,0.17336349
1996,Compensated cross-price elasticity with change in food prices,Fiji,Clothing & footwear,0.15762073
1996,Compensated cross-price elasticity with change in food prices,Fiji,Education,0.18522748
1996,Compensated cross-price elasticity with change in food prices,Fiji,"Gross rent, fuel & power",0.2059098
1996,Compensated cross-price elasticity with change in food prices,Fiji,House furnishing & operations,0.20534651
1996,Compensated cross-price elasticity with change in food prices,Fiji,Medical care,0.23085448
1996,Compensated cross-price elasticity with change in food prices,Fiji,Other,0.22883891
1996,Compensated cross-price elasticity with change in food prices,Fiji,Recreation,0.2483126
1996,Compensated cross-price elasticity with change in food prices,Fiji,Transport & communication,0.20796493
1996,Compensated cross-price elasticity with change in food prices,Finland,Clothing & footwear,0.06432152
1996,Compensated cross-price elasticity with change in food prices,Finland,Education,0.07585856
1996,Compensated cross-price elasticity with change in food prices,Finland,"Gross rent, fuel & power",0.08260096
1996,Compensated cross-price elasticity with change in food prices,Finland,House furnishing & operations,0.0824342
1996,Compensated cross-price elasticity with change in food prices,Finland,Medical care,0.08921544
1996,Compensated cross-price elasticity with change in food prices,Finland,Other,0.08873151
1996,Compensated cross-price elasticity with change in food prices,Finland,Recreation,0.09309544
1996,Compensated cross-price elasticity with change in food prices,Finland,Transport & communication,0.08320219
1996,Compensated cross-price elasticity with change in food prices,France,Clothing & footwear,0.04938275
1996,Compensated cross-price elasticity with change in food prices,France,Education,0.05828519
1996,Compensated cross-price elasticity with change in food prices,France,"Gross rent, fuel & power",0.06329197
1996,Compensated cross-price elasticity with change in food prices,France,House furnishing & operations,0.06316981
1996,Compensated cross-price elasticity with change in food prices,France,Medical care,0.06807042
1996,Compensated cross-price elasticity with change in food prices,France,Other,0.06772518
1996,Compensated cross-price elasticity with change in food prices,France,Recreation,0.07081411
1996,Compensated cross-price elasticity with change in food prices,France,Transport & communication,0.06373169
1996,Compensated cross-price elasticity with change in food prices,Gabon,Clothing & footwear,0.13155786
1996,Compensated cross-price elasticity with change in food prices,Gabon,Education,0.15472334
1996,Compensated cross-price elasticity with change in food prices,Gabon,"Gross rent, fuel & power",0.17088605
1996,Compensated cross-price elasticity with change in food prices,Gabon,House furnishing & operations,0.17045846
1996,Compensated cross-price elasticity with change in food prices,Gabon,Medical care,0.18915763
1996,Compensated cross-price elasticity with change in food prices,Gabon,Other,0.1877279
1996,Compensated cross-price elasticity with change in food prices,Gabon,Recreation,0.20121786
1996,Compensated cross-price elasticity with change in food prices,Gabon,Transport & communication,0.17244027
1996,Compensated cross-price elasticity with change in food prices,Georgia,Clothing & footwear,0.20979142
1996,Compensated cross-price elasticity with change in food prices,Georgia,Education,0.24624897
1996,Compensated cross-price elasticity with change in food prices,Georgia,"Gross rent, fuel & power",0.27792132
1996,Compensated cross-price elasticity with change in food prices,Georgia,House furnishing & operations,0.27700146
1996,Compensated cross-price elasticity with change in food prices,Georgia,Medical care,0.32239912
1996,Compensated cross-price elasticity with change in food prices,Georgia,Other,0.31851056
1996,Compensated cross-price elasticity with change in food prices,Georgia,Recreation,0.3586016
1996,Compensated cross-price elasticity with change in food prices,Georgia,Transport & communication,0.28130661
1996,Compensated cross-price elasticity with change in food prices,Germany,Clothing & footwear,0.04426264
1996,Compensated cross-price elasticity with change in food prices,Germany,Education,0.05225656
1996,Compensated cross-price elasticity with change in food prices,Germany,"Gross rent, fuel & power",0.05669391
1996,Compensated cross-price elasticity with change in food prices,Germany,House furnishing & operations,0.05658615
1996,Compensated cross-price elasticity with change in food prices,Germany,Medical care,0.06089033
1996,Compensated cross-price elasticity with change in food prices,Germany,Other,0.0605884
1996,Compensated cross-price elasticity with change in food prices,Germany,Recreation,0.063283
1996,Compensated cross-price elasticity with change in food prices,Germany,Transport & communication,0.05708164
1996,Compensated cross-price elasticity with change in food prices,Greece,Clothing & footwear,0.08349816
1996,Compensated cross-price elasticity with change in food prices,Greece,Education,0.0983857
1996,Compensated cross-price elasticity with change in food prices,Greece,"Gross rent, fuel & power",0.10752985
1996,Compensated cross-price elasticity with change in food prices,Greece,House furnishing & operations,0.10729954
1996,Compensated cross-price elasticity with change in food prices,Greece,Medical care,0.11684108
1996,Compensated cross-price elasticity with change in food prices,Greece,Other,0.116148
1996,Compensated cross-price elasticity with change in food prices,Greece,Recreation,0.1224677
1996,Compensated cross-price elasticity with change in food prices,Greece,Transport & communication,0.10836199
1996,Compensated cross-price elasticity with change in food prices,Grenada,Clothing & footwear,0.15754858
1996,Compensated cross-price elasticity with change in food prices,Grenada,Education,0.18514306
1996,Compensated cross-price elasticity with change in food prices,Grenada,"Gross rent, fuel & power",0.20581208
1996,Compensated cross-price elasticity with change in food prices,Grenada,House furnishing & operations,0.2052492
1996,Compensated cross-price elasticity with change in food prices,Grenada,Medical care,0.23073601
1996,Compensated cross-price elasticity with change in food prices,Grenada,Other,0.22872231
1996,Compensated cross-price elasticity with change in food prices,Grenada,Recreation,0.24817656
1996,Compensated cross-price elasticity with change in food prices,Grenada,Transport & communication,0.20786569
1996,Compensated cross-price elasticity with change in food prices,Guinea,Clothing & footwear,0.21652964
1996,Compensated cross-price elasticity with change in food prices,Guinea,Education,0.25413036
1996,Compensated cross-price elasticity with change in food prices,Guinea,"Gross rent, fuel & power",0.28744786
1996,Compensated cross-price elasticity with change in food prices,Guinea,House furnishing & operations,0.28647151
1996,Compensated cross-price elasticity with change in food prices,Guinea,Medical care,0.33529366
1996,Compensated cross-price elasticity with change in food prices,Guinea,Other,0.3310603
1996,Compensated cross-price elasticity with change in food prices,Guinea,Recreation,0.37518036
1996,Compensated cross-price elasticity with change in food prices,Guinea,Transport & communication,0.29104561
1996,Compensated cross-price elasticity with change in food prices,Hong Kong,Clothing & footwear,0.0336762
1996,Compensated cross-price elasticity with change in food prices,Hong Kong,Education,0.03978191
1996,Compensated cross-price elasticity with change in food prices,Hong Kong,"Gross rent, fuel & power",0.04308095
1996,Compensated cross-price elasticity with change in food prices,Hong Kong,House furnishing & operations,0.04300157
1996,Compensated cross-price elasticity with change in food prices,Hong Kong,Medical care,0.04614372
1996,Compensated cross-price elasticity with change in food prices,Hong Kong,Other,0.04592517
1996,Compensated cross-price elasticity with change in food prices,Hong Kong,Recreation,0.04786572
1996,Compensated cross-price elasticity with change in food prices,Hong Kong,Transport & communication,0.04336624
1996,Compensated cross-price elasticity with change in food prices,Hungary,Clothing & footwear,0.11750982
1996,Compensated cross-price elasticity with change in food prices,Hungary,Education,0.13826986
1996,Compensated cross-price elasticity with change in food prices,Hungary,"Gross rent, fuel & power",0.15221808
1996,Compensated cross-price elasticity with change in food prices,Hungary,House furnishing & operations,0.15185455
1996,Compensated cross-price elasticity with change in food prices,Hungary,Medical care,0.16748379
1996,Compensated cross-price elasticity with change in food prices,Hungary,Other,0.16630791
1996,Compensated cross-price elasticity with change in food prices,Hungary,Recreation,0.17728029
1996,Compensated cross-price elasticity with change in food prices,Hungary,Transport & communication,0.15353703
1996,Compensated cross-price elasticity with change in food prices,Iceland,Clothing & footwear,0.03335602
1996,Compensated cross-price elasticity with change in food prices,Iceland,Education,0.03940441
1996,Compensated cross-price elasticity with change in food prices,Iceland,"Gross rent, fuel & power",0.04266982
1996,Compensated cross-price elasticity with change in food prices,Iceland,House furnishing & operations,0.04259127
1996,Compensated cross-price elasticity with change in food prices,Iceland,Medical care,0.04569969
1996,Compensated cross-price elasticity with change in food prices,Iceland,Other,0.04548354
1996,Compensated cross-price elasticity with change in food prices,Iceland,Recreation,0.0474025
1996,Compensated cross-price elasticity with change in food prices,Iceland,Transport & communication,0.04295211
1996,Compensated cross-price elasticity with change in food prices,Indonesia,Clothing & footwear,0.22027396
1996,Compensated cross-price elasticity with change in food prices,Indonesia,Education,0.25851019
1996,Compensated cross-price elasticity with change in food prices,Indonesia,"Gross rent, fuel & power",0.2927674
