Year, Category, Country, Commodity, Amount
1996,"Compensated cross-price elasticity with change in food prices","Armenia","Other",0.36
1996,"Compensated cross-price elasticity with change in food prices","Armenia","Recreation",0.42
1996,"Compensated cross-price elasticity with change in food prices","Armenia","Transport & communication",0.31
1996,"Compensated cross-price elasticity with change in food prices","Australia","Clothing & footwear",0.04
1996,"Compensated cross-price elasticity with change in food prices","Australia","Education",0.05
1996,"Compensated cross-price elasticity with change in food prices","Australia","Gross rent, fuel & power",0.05
1996,"Compensated cross-price elasticity with change in food prices","Australia","House furnishing & operations",0.05
1996,"Compensated cross-price elasticity with change in food prices","Australia","Medical care",0.05
1996,"Compensated cross-price elasticity with change in food prices","Australia","Other",0.05
1996,"Compensated cross-price elasticity with change in food prices","Australia","Recreation",0.06
1996,"Compensated cross-price elasticity with change in food prices","Australia","Transport & communication",0.05
1996,"Compensated cross-price elasticity with change in food prices","Austria","Clothing & footwear",0.04
1996,"Compensated cross-price elasticity with change in food prices","Austria","Education",0.05
1996,"Compensated cross-price elasticity with change in food prices","Austria","Gross rent, fuel & power",0.05
1996,"Compensated cross-price elasticity with change in food prices","Austria","House furnishing & operations",0.05
1996,"Compensated cross-price elasticity with change in food prices","Austria","Medical care",0.06
1996,"Compensated cross-price elasticity with change in food prices","Austria","Other",0.06
1996,"Compensated cross-price elasticity with change in food prices","Austria","Recreation",0.06
1996,"Compensated cross-price elasticity with change in food prices","Austria","Transport & communication",0.05
1996,"Compensated cross-price elasticity with change in food prices","Azerbaijan","Clothing & footwear",0.25
1996,"Compensated cross-price elasticity with change in food prices","Azerbaijan","Education",0.30
1996,"Compensated cross-price elasticity with change in food prices","Azerbaijan","Gross rent, fuel & power",0.34
1996,"Compensated cross-price elasticity with change in food prices","Azerbaijan","House furnishing & operations",0.34
1996,"Compensated cross-price elasticity with change in food prices","Azerbaijan","Medical care",0.42
1996,"Compensated cross-price elasticity with change in food prices","Azerbaijan","Other",0.41
1996,"Compensated cross-price elasticity with change in food prices","Azerbaijan","Recreation",0.49
1996,"Compensated cross-price elasticity with change in food prices","Azerbaijan","Transport & communication",0.35
1996,"Compensated cross-price elasticity with change in food prices","Bahamas","Clothing & footwear",0.06
1996,"Compensated cross-price elasticity with change in food prices","Bahamas","Education",0.07
1996,"Compensated cross-price elasticity with change in food prices","Bahamas","Gross rent, fuel & power",0.08
1996,"Compensated cross-price elasticity with change in food prices","Bahamas","House furnishing & operations",0.08
1996,"Compensated cross-price elasticity with change in food prices","Bahamas","Medical care",0.08
1996,"Compensated cross-price elasticity with change in food prices","Bahamas","Other",0.08
1996,"Compensated cross-price elasticity with change in food prices","Bahamas","Recreation",0.09
1996,"Compensated cross-price elasticity with change in food prices","Bahamas","Transport & communication",0.08
1996,"Compensated cross-price elasticity with change in food prices","Bahrain","Clothing & footwear",0.14
1996,"Compensated cross-price elasticity with change in food prices","Bahrain","Education",0.16
1996,"Compensated cross-price elasticity with change in food prices","Bahrain","Gross rent, fuel & power",0.18
1996,"Compensated cross-price elasticity with change in food prices","Bahrain","House furnishing & operations",0.18
1996,"Compensated cross-price elasticity with change in food prices","Bahrain","Medical care",0.20
1996,"Compensated cross-price elasticity with change in food prices","Bahrain","Other",0.20
1996,"Compensated cross-price elasticity with change in food prices","Bahrain","Recreation",0.22
1996,"Compensated cross-price elasticity with change in food prices","Bahrain","Transport & communication",0.18
1996,"Compensated cross-price elasticity with change in food prices","Bangladesh","Clothing & footwear",0.27
1996,"Compensated cross-price elasticity with change in food prices","Bangladesh","Education",0.32
1996,"Compensated cross-price elasticity with change in food prices","Bangladesh","Gross rent, fuel & power",0.37
1996,"Compensated cross-price elasticity with change in food prices","Bangladesh","House furnishing & operations",0.37
1996,"Compensated cross-price elasticity with change in food prices","Bangladesh","Medical care",0.47
1996,"Compensated cross-price elasticity with change in food prices","Bangladesh","Other",0.46
1996,"Compensated cross-price elasticity with change in food prices","Bangladesh","Recreation",0.57
1996,"Compensated cross-price elasticity with change in food prices","Bangladesh","Transport & communication",0.38
1996,"Compensated cross-price elasticity with change in food prices","Barbados ","Clothing & footwear",0.03
1996,"Compensated cross-price elasticity with change in food prices","Barbados ","Education",0.04
1996,"Compensated cross-price elasticity with change in food prices","Barbados ","Gross rent, fuel & power",0.04
1996,"Compensated cross-price elasticity with change in food prices","Barbados ","House furnishing & operations",0.04
1996,"Compensated cross-price elasticity with change in food prices","Barbados ","Medical care",0.04
1996,"Compensated cross-price elasticity with change in food prices","Barbados ","Other",0.04
1996,"Compensated cross-price elasticity with change in food prices","Barbados ","Recreation",0.04
1996,"Compensated cross-price elasticity with change in food prices","Barbados ","Transport & communication",0.04
1996,"Compensated cross-price elasticity with change in food prices","Belarus","Clothing & footwear",0.17
1996,"Compensated cross-price elasticity with change in food prices","Belarus","Education",0.20
1996,"Compensated cross-price elasticity with change in food prices","Belarus","Gross rent, fuel & power",0.22
1996,"Compensated cross-price elasticity with change in food prices","Belarus","House furnishing & operations",0.22
1996,"Compensated cross-price elasticity with change in food prices","Belarus","Medical care",0.25
1996,"Compensated cross-price elasticity with change in food prices","Belarus","Other",0.25
1996,"Compensated cross-price elasticity with change in food prices","Belarus","Recreation",0.27
1996,"Compensated cross-price elasticity with change in food prices","Belarus","Transport & communication",0.22
1996,"Compensated cross-price elasticity with change in food prices","Belgium","Clothing & footwear",0.04
1996,"Compensated cross-price elasticity with change in food prices","Belgium","Education",0.05
1996,"Compensated cross-price elasticity with change in food prices","Belgium","Gross rent, fuel & power",0.06
1996,"Compensated cross-price elasticity with change in food prices","Belgium","House furnishing & operations",0.06
1996,"Compensated cross-price elasticity with change in food prices","Belgium","Medical care",0.06
1996,"Compensated cross-price elasticity with change in food prices","Belgium","Other",0.06
1996,"Compensated cross-price elasticity with change in food prices","Belgium","Recreation",0.06
1996,"Compensated cross-price elasticity with change in food prices","Belgium","Transport & communication",0.06
1996,"Compensated cross-price elasticity with change in food prices","Belize","Clothing & footwear",0.18
1996,"Compensated cross-price elasticity with change in food prices","Belize","Education",0.21
1996,"Compensated cross-price elasticity with change in food prices","Belize","Gross rent, fuel & power",0.23
1996,"Compensated cross-price elasticity with change in food prices","Belize","House furnishing & operations",0.23
1996,"Compensated cross-price elasticity with change in food prices","Belize","Medical care",0.26
1996,"Compensated cross-price elasticity with change in food prices","Belize","Other",0.26
1996,"Compensated cross-price elasticity with change in food prices","Belize","Recreation",0.29
1996,"Compensated cross-price elasticity with change in food prices","Belize","Transport & communication",0.23
1996,"Compensated cross-price elasticity with change in food prices","Benin","Clothing & footwear",0.31
1996,"Compensated cross-price elasticity with change in food prices","Benin","Education",0.37
1996,"Compensated cross-price elasticity with change in food prices","Benin","Gross rent, fuel & power",0.43
1996,"Compensated cross-price elasticity with change in food prices","Benin","House furnishing & operations",0.43
1996,"Compensated cross-price elasticity with change in food prices","Benin","Medical care",0.59
1996,"Compensated cross-price elasticity with change in food prices","Benin","Other",0.57
1996,"Compensated cross-price elasticity with change in food prices","Benin","Recreation",0.82
1996,"Compensated cross-price elasticity with change in food prices","Benin","Transport & communication",0.44
1996,"Compensated cross-price elasticity with change in food prices","Bermuda ","Clothing & footwear",0.03
1996,"Compensated cross-price elasticity with change in food prices","Bermuda ","Education",0.04
1996,"Compensated cross-price elasticity with change in food prices","Bermuda ","Gross rent, fuel & power",0.04
1996,"Compensated cross-price elasticity with change in food prices","Bermuda ","House furnishing & operations",0.04
1996,"Compensated cross-price elasticity with change in food prices","Bermuda ","Medical care",0.04
1996,"Compensated cross-price elasticity with change in food prices","Bermuda ","Other",0.04
1996,"Compensated cross-price elasticity with change in food prices","Bermuda ","Recreation",0.05
1996,"Compensated cross-price elasticity with change in food prices","Bermuda ","Transport & communication",0.04
1996,"Compensated cross-price elasticity with change in food prices","Bolivia","Clothing & footwear",0.24
1996,"Compensated cross-price elasticity with change in food prices","Bolivia","Education",0.28
1996,"Compensated cross-price elasticity with change in food prices","Bolivia","Gross rent, fuel & power",0.32
1996,"Compensated cross-price elasticity with change in food prices","Bolivia","House furnishing & operations",0.32
1996,"Compensated cross-price elasticity with change in food prices","Bolivia","Medical care",0.38
1996,"Compensated cross-price elasticity with change in food prices","Bolivia","Other",0.38
1996,"Compensated cross-price elasticity with change in food prices","Bolivia","Recreation",0.44
1996,"Compensated cross-price elasticity with change in food prices","Bolivia","Transport & communication",0.32
1996,"Compensated cross-price elasticity with change in food prices","Botswana","Clothing & footwear",0.19
1996,"Compensated cross-price elasticity with change in food prices","Botswana","Education",0.22
1996,"Compensated cross-price elasticity with change in food prices","Botswana","Gross rent, fuel & power",0.25
1996,"Compensated cross-price elasticity with change in food prices","Botswana","House furnishing & operations",0.25
1996,"Compensated cross-price elasticity with change in food prices","Botswana","Medical care",0.28
1996,"Compensated cross-price elasticity with change in food prices","Botswana","Other",0.28
1996,"Compensated cross-price elasticity with change in food prices","Botswana","Recreation",0.31
1996,"Compensated cross-price elasticity with change in food prices","Botswana","Transport & communication",0.25
1996,"Compensated cross-price elasticity with change in food prices","Brazil","Clothing & footwear",0.16
1996,"Compensated cross-price elasticity with change in food prices","Brazil","Education",0.19
1996,"Compensated cross-price elasticity with change in food prices","Brazil","Gross rent, fuel & power",0.21
1996,"Compensated cross-price elasticity with change in food prices","Brazil","House furnishing & operations",0.21
1996,"Compensated cross-price elasticity with change in food prices","Brazil","Medical care",0.24
1996,"Compensated cross-price elasticity with change in food prices","Brazil","Other",0.24
1996,"Compensated cross-price elasticity with change in food prices","Brazil","Recreation",0.26
1996,"Compensated cross-price elasticity with change in food prices","Brazil","Transport & communication",0.21
1996,"Compensated cross-price elasticity with change in food prices","Bulgaria","Clothing & footwear",0.16
1996,"Compensated cross-price elasticity with change in food prices","Bulgaria","Education",0.19
1996,"Compensated cross-price elasticity with change in food prices","Bulgaria","Gross rent, fuel & power",0.21
1996,"Compensated cross-price elasticity with change in food prices","Bulgaria","House furnishing & operations",0.21
1996,"Compensated cross-price elasticity with change in food prices","Bulgaria","Medical care",0.24
1996,"Compensated cross-price elasticity with change in food prices","Bulgaria","Other",0.23
1996,"Compensated cross-price elasticity with change in food prices","Bulgaria","Recreation",0.26
1996,"Compensated cross-price elasticity with change in food prices","Bulgaria","Transport & communication",0.21
1996,"Compensated cross-price elasticity with change in food prices","Cameroon","Clothing & footwear",0.24
1996,"Compensated cross-price elasticity with change in food prices","Cameroon","Education",0.29
1996,"Compensated cross-price elasticity with change in food prices","Cameroon","Gross rent, fuel & power",0.33
1996,"Compensated cross-price elasticity with change in food prices","Cameroon","House furnishing & operations",0.33
1996,"Compensated cross-price elasticity with change in food prices","Cameroon","Medical care",0.39
1996,"Compensated cross-price elasticity with change in food prices","Cameroon","Other",0.39
1996,"Compensated cross-price elasticity with change in food prices","Cameroon","Recreation",0.46
1996,"Compensated cross-price elasticity with change in food prices","Cameroon","Transport & communication",0.33
1996,"Compensated cross-price elasticity with change in food prices","Canada","Clothing & footwear",0.03
1996,"Compensated cross-price elasticity with change in food prices","Canada","Education",0.04
1996,"Compensated cross-price elasticity with change in food prices","Canada","Gross rent, fuel & power",0.05
1996,"Compensated cross-price elasticity with change in food prices","Canada","House furnishing & operations",0.05
1996,"Compensated cross-price elasticity with change in food prices","Canada","Medical care",0.05
1996,"Compensated cross-price elasticity with change in food prices","Canada","Other",0.05
1996,"Compensated cross-price elasticity with change in food prices","Canada","Recreation",0.05
1996,"Compensated cross-price elasticity with change in food prices","Canada","Transport & communication",0.05
1996,"Compensated cross-price elasticity with change in food prices","Chile","Clothing & footwear",0.14
1996,"Compensated cross-price elasticity with change in food prices","Chile","Education",0.16
1996,"Compensated cross-price elasticity with change in food prices","Chile","Gross rent, fuel & power",0.18
1996,"Compensated cross-price elasticity with change in food prices","Chile","House furnishing & operations",0.18
1996,"Compensated cross-price elasticity with change in food prices","Chile","Medical care",0.20
1996,"Compensated cross-price elasticity with change in food prices","Chile","Other",0.20
1996,"Compensated cross-price elasticity with change in food prices","Chile","Recreation",0.21
1996,"Compensated cross-price elasticity with change in food prices","Chile","Transport & communication",0.18
1996,"Compensated cross-price elasticity with change in food prices","Congo","Clothing & footwear",0.28
1996,"Compensated cross-price elasticity with change in food prices","Congo","Education",0.33
1996,"Compensated cross-price elasticity with change in food prices","Congo","Gross rent, fuel & power",0.39
1996,"Compensated cross-price elasticity with change in food prices","Congo","House furnishing & operations",0.39
1996,"Compensated cross-price elasticity with change in food prices","Congo","Medical care",0.49
1996,"Compensated cross-price elasticity with change in food prices","Congo","Other",0.48
1996,"Compensated cross-price elasticity with change in food prices","Congo","Recreation",0.62
1996,"Compensated cross-price elasticity with change in food prices","Congo","Transport & communication",0.39
1996,"Compensated cross-price elasticity with change in food prices","Cote d'Ivoire","Clothing & footwear",0.25
1996,"Compensated cross-price elasticity with change in food prices","Cote d'Ivoire","Education",0.29
1996,"Compensated cross-price elasticity with change in food prices","Cote d'Ivoire","Gross rent, fuel & power",0.34
1996,"Compensated cross-price elasticity with change in food prices","Cote d'Ivoire","House furnishing & operations",0.34
1996,"Compensated cross-price elasticity with change in food prices","Cote d'Ivoire","Medical care",0.41
1996,"Compensated cross-price elasticity with change in food prices","Cote d'Ivoire","Other",0.40
1996,"Compensated cross-price elasticity with change in food prices","Cote d'Ivoire","Recreation",0.48
1996,"Compensated cross-price elasticity with change in food prices","Cote d'Ivoire","Transport & communication",0.34
1996,"Compensated cross-price elasticity with change in food prices","Czech Republic","Clothing & footwear",0.09
1996,"Compensated cross-price elasticity with change in food prices","Czech Republic","Education",0.10
1996,"Compensated cross-price elasticity with change in food prices","Czech Republic","Gross rent, fuel & power",0.11
1996,"Compensated cross-price elasticity with change in food prices","Czech Republic","House furnishing & operations",0.11
1996,"Compensated cross-price elasticity with change in food prices","Czech Republic","Medical care",0.12
1996,"Compensated cross-price elasticity with change in food prices","Czech Republic","Other",0.12
1996,"Compensated cross-price elasticity with change in food prices","Czech Republic","Recreation",0.13
1996,"Compensated cross-price elasticity with change in food prices","Czech Republic","Transport & communication",0.11
1996,"Compensated cross-price elasticity with change in food prices","Denmark","Clothing & footwear",0.03
1996,"Compensated cross-price elasticity with change in food prices","Denmark","Education",0.03
1996,"Compensated cross-price elasticity with change in food prices","Denmark","Gross rent, fuel & power",0.04
1996,"Compensated cross-price elasticity with change in food prices","Denmark","House furnishing & operations",0.04
1996,"Compensated cross-price elasticity with change in food prices","Denmark","Medical care",0.04
1996,"Compensated cross-price elasticity with change in food prices","Denmark","Other",0.04
1996,"Compensated cross-price elasticity with change in food prices","Denmark","Recreation",0.04
1996,"Compensated cross-price elasticity with change in food prices","Denmark","Transport & communication",0.04
1996,"Compensated cross-price elasticity with change in food prices","Dominica","Clothing & footwear",0.17
1996,"Compensated cross-price elasticity with change in food prices","Dominica","Education",0.20
1996,"Compensated cross-price elasticity with change in food prices","Dominica","Gross rent, fuel & power",0.22
1996,"Compensated cross-price elasticity with change in food prices","Dominica","House furnishing & operations",0.22
1996,"Compensated cross-price elasticity with change in food prices","Dominica","Medical care",0.25
1996,"Compensated cross-price elasticity with change in food prices","Dominica","Other",0.25
1996,"Compensated cross-price elasticity with change in food prices","Dominica","Recreation",0.27
1996,"Compensated cross-price elasticity with change in food prices","Dominica","Transport & communication",0.22
1996,"Compensated cross-price elasticity with change in food prices","Ecuador","Clothing & footwear",0.24
1996,"Compensated cross-price elasticity with change in food prices","Ecuador","Education",0.28
1996,"Compensated cross-price elasticity with change in food prices","Ecuador","Gross rent, fuel & power",0.32
1996,"Compensated cross-price elasticity with change in food prices","Ecuador","House furnishing & operations",0.32
1996,"Compensated cross-price elasticity with change in food prices","Ecuador","Medical care",0.38
1996,"Compensated cross-price elasticity with change in food prices","Ecuador","Other",0.37
1996,"Compensated cross-price elasticity with change in food prices","Ecuador","Recreation",0.44
1996,"Compensated cross-price elasticity with change in food prices","Ecuador","Transport & communication",0.32
1996,"Compensated cross-price elasticity with change in food prices","Egypt","Clothing & footwear",0.18
1996,"Compensated cross-price elasticity with change in food prices","Egypt","Education",0.21
1996,"Compensated cross-price elasticity with change in food prices","Egypt","Gross rent, fuel & power",0.23
1996,"Compensated cross-price elasticity with change in food prices","Egypt","House furnishing & operations",0.23
1996,"Compensated cross-price elasticity with change in food prices","Egypt","Medical care",0.26
1996,"Compensated cross-price elasticity with change in food prices","Egypt","Other",0.26
1996,"Compensated cross-price elasticity with change in food prices","Egypt","Recreation",0.29
1996,"Compensated cross-price elasticity with change in food prices","Egypt","Transport & communication",0.23
1996,"Compensated cross-price elasticity with change in food prices","Estonia","Clothing & footwear",0.13
1996,"Compensated cross-price elasticity with change in food prices","Estonia","Education",0.15
1996,"Compensated cross-price elasticity with change in food prices","Estonia","Gross rent, fuel & power",0.17
1996,"Compensated cross-price elasticity with change in food prices","Estonia","House furnishing & operations",0.17
1996,"Compensated cross-price elasticity with change in food prices","Estonia","Medical care",0.19
1996,"Compensated cross-price elasticity with change in food prices","Estonia","Other",0.18
1996,"Compensated cross-price elasticity with change in food prices","Estonia","Recreation",0.20
1996,"Compensated cross-price elasticity with change in food prices","Estonia","Transport & communication",0.17
1996,"Compensated cross-price elasticity with change in food prices","Fiji","Clothing & footwear",0.15
1996,"Compensated cross-price elasticity with change in food prices","Fiji","Education",0.18
1996,"Compensated cross-price elasticity with change in food prices","Fiji","Gross rent, fuel & power",0.20
1996,"Compensated cross-price elasticity with change in food prices","Fiji","House furnishing & operations",0.20
1996,"Compensated cross-price elasticity with change in food prices","Fiji","Medical care",0.23
1996,"Compensated cross-price elasticity with change in food prices","Fiji","Other",0.22
1996,"Compensated cross-price elasticity with change in food prices","Fiji","Recreation",0.24
1996,"Compensated cross-price elasticity with change in food prices","Fiji","Transport & communication",0.20
1996,"Compensated cross-price elasticity with change in food prices","Finland","Clothing & footwear",0.06
1996,"Compensated cross-price elasticity with change in food prices","Finland","Education",0.07
1996,"Compensated cross-price elasticity with change in food prices","Finland","Gross rent, fuel & power",0.08
1996,"Compensated cross-price elasticity with change in food prices","Finland","House furnishing & operations",0.08
1996,"Compensated cross-price elasticity with change in food prices","Finland","Medical care",0.08
1996,"Compensated cross-price elasticity with change in food prices","Finland","Other",0.08
1996,"Compensated cross-price elasticity with change in food prices","Finland","Recreation",0.09
1996,"Compensated cross-price elasticity with change in food prices","Finland","Transport & communication",0.08
1996,"Compensated cross-price elasticity with change in food prices","France","Clothing & footwear",0.04
1996,"Compensated cross-price elasticity with change in food prices","France","Education",0.05
1996,"Compensated cross-price elasticity with change in food prices","France","Gross rent, fuel & power",0.06
1996,"Compensated cross-price elasticity with change in food prices","France","House furnishing & operations",0.06
1996,"Compensated cross-price elasticity with change in food prices","France","Medical care",0.06
1996,"Compensated cross-price elasticity with change in food prices","France","Other",0.06
1996,"Compensated cross-price elasticity with change in food prices","France","Recreation",0.07
1996,"Compensated cross-price elasticity with change in food prices","France","Transport & communication",0.06
1996,"Compensated cross-price elasticity with change in food prices","Gabon","Clothing & footwear",0.13
1996,"Compensated cross-price elasticity with change in food prices","Gabon","Education",0.15
1996,"Compensated cross-price elasticity with change in food prices","Gabon","Gross rent, fuel & power",0.17
1996,"Compensated cross-price elasticity with change in food prices","Gabon","House furnishing & operations",0.17
1996,"Compensated cross-price elasticity with change in food prices","Gabon","Medical care",0.18
1996,"Compensated cross-price elasticity with change in food prices","Gabon","Other",0.18
1996,"Compensated cross-price elasticity with change in food prices","Gabon","Recreation",0.20
1996,"Compensated cross-price elasticity with change in food prices","Gabon","Transport & communication",0.17
1996,"Compensated cross-price elasticity with change in food prices","Georgia","Clothing & footwear",0.20
1996,"Compensated cross-price elasticity with change in food prices","Georgia","Education",0.24
1996,"Compensated cross-price elasticity with change in food prices","Georgia","Gross rent, fuel & power",0.27
1996,"Compensated cross-price elasticity with change in food prices","Georgia","House furnishing & operations",0.27
1996,"Compensated cross-price elasticity with change in food prices","Georgia","Medical care",0.32
1996,"Compensated cross-price elasticity with change in food prices","Georgia","Other",0.31
1996,"Compensated cross-price elasticity with change in food prices","Georgia","Recreation",0.35
1996,"Compensated cross-price elasticity with change in food prices","Georgia","Transport & communication",0.28
1996,"Compensated cross-price elasticity with change in food prices","Germany","Clothing & footwear",0.04
1996,"Compensated cross-price elasticity with change in food prices","Germany","Education",0.05
1996,"Compensated cross-price elasticity with change in food prices","Germany","Gross rent, fuel & power",0.05
1996,"Compensated cross-price elasticity with change in food prices","Germany","House furnishing & operations",0.05
1996,"Compensated cross-price elasticity with change in food prices","Germany","Medical care",0.06
1996,"Compensated cross-price elasticity with change in food prices","Germany","Other",0.06
1996,"Compensated cross-price elasticity with change in food prices","Germany","Recreation",0.06
1996,"Compensated cross-price elasticity with change in food prices","Germany","Transport & communication",0.05
1996,"Compensated cross-price elasticity with change in food prices","Greece","Clothing & footwear",0.08
1996,"Compensated cross-price elasticity with change in food prices","Greece","Education",0.09
1996,"Compensated cross-price elasticity with change in food prices","Greece","Gross rent, fuel & power",0.10
1996,"Compensated cross-price elasticity with change in food prices","Greece","House furnishing & operations",0.10
1996,"Compensated cross-price elasticity with change in food prices","Greece","Medical care",0.11
1996,"Compensated cross-price elasticity with change in food prices","Greece","Other",0.11
1996,"Compensated cross-price elasticity with change in food prices","Greece","Recreation",0.12
1996,"Compensated cross-price elasticity with change in food prices","Greece","Transport & communication",0.10
1996,"Compensated cross-price elasticity with change in food prices","Grenada","Clothing & footwear",0.15
1996,"Compensated cross-price elasticity with change in food prices","Grenada","Education",0.18
1996,"Compensated cross-price elasticity with change in food prices","Grenada","Gross rent, fuel & power",0.20
1996,"Compensated cross-price elasticity with change in food prices","Grenada","House furnishing & operations",0.20
1996,"Compensated cross-price elasticity with change in food prices","Grenada","Medical care",0.23
1996,"Compensated cross-price elasticity with change in food prices","Grenada","Other",0.22
1996,"Compensated cross-price elasticity with change in food prices","Grenada","Recreation",0.24
1996,"Compensated cross-price elasticity with change in food prices","Grenada","Transport & communication",0.20
1996,"Compensated cross-price elasticity with change in food prices","Guinea","Clothing & footwear",0.21
1996,"Compensated cross-price elasticity with change in food prices","Guinea","Education",0.25
1996,"Compensated cross-price elasticity with change in food prices","Guinea","Gross rent, fuel & power",0.28
1996,"Compensated cross-price elasticity with change in food prices","Guinea","House furnishing & operations",0.28
1996,"Compensated cross-price elasticity with change in food prices","Guinea","Medical care",0.33
1996,"Compensated cross-price elasticity with change in food prices","Guinea","Other",0.33
1996,"Compensated cross-price elasticity with change in food prices","Guinea","Recreation",0.37
1996,"Compensated cross-price elasticity with change in food prices","Guinea","Transport & communication",0.29
1996,"Compensated cross-price elasticity with change in food prices","Hong Kong","Clothing & footwear",0.03
1996,"Compensated cross-price elasticity with change in food prices","Hong Kong","Education",0.03
1996,"Compensated cross-price elasticity with change in food prices","Hong Kong","Gross rent, fuel & power",0.04
1996,"Compensated cross-price elasticity with change in food prices","Hong Kong","House furnishing & operations",0.04
1996,"Compensated cross-price elasticity with change in food prices","Hong Kong","Medical care",0.04
1996,"Compensated cross-price elasticity with change in food prices","Hong Kong","Other",0.04
1996,"Compensated cross-price elasticity with change in food prices","Hong Kong","Recreation",0.04
1996,"Compensated cross-price elasticity with change in food prices","Hong Kong","Transport & communication",0.04
1996,"Compensated cross-price elasticity with change in food prices","Hungary","Clothing & footwear",0.11
1996,"Compensated cross-price elasticity with change in food prices","Hungary","Education",0.13
1996,"Compensated cross-price elasticity with change in food prices","Hungary","Gross rent, fuel & power",0.15
1996,"Compensated cross-price elasticity with change in food prices","Hungary","House furnishing & operations",0.15
1996,"Compensated cross-price elasticity with change in food prices","Hungary","Medical care",0.16
1996,"Compensated cross-price elasticity with change in food prices","Hungary","Other",0.16
1996,"Compensated cross-price elasticity with change in food prices","Hungary","Recreation",0.17
1996,"Compensated cross-price elasticity with change in food prices","Hungary","Transport & communication",0.15
1996,"Compensated cross-price elasticity with change in food prices","Iceland","Clothing & footwear",0.03
1996,"Compensated cross-price elasticity with change in food prices","Iceland","Education",0.03
1996,"Compensated cross-price elasticity with change in food prices","Iceland","Gross rent, fuel & power",0.04
1996,"Compensated cross-price elasticity with change in food prices","Iceland","House furnishing & operations",0.04
1996,"Compensated cross-price elasticity with change in food prices","Iceland","Medical care",0.04
1996,"Compensated cross-price elasticity with change in food prices","Iceland","Other",0.04
1996,"Compensated cross-price elasticity with change in food prices","Iceland","Recreation",0.04
1996,"Compensated cross-price elasticity with change in food prices","Iceland","Transport & communication",0.04
1996,"Compensated cross-price elasticity with change in food prices","Indonesia","Clothing & footwear",0.22
1996,"Compensated cross-price elasticity with change in food prices","Indonesia","Education",0.25
1996,"Compensated cross-price elasticity with change in food prices","Indonesia","Gross rent, fuel & power",0.29
1996,"Compensated cross-price elasticity with change in food prices","Indonesia","House furnishing & operations",0.29
1996,"Compensated cross-price elasticity with change in food prices","Indonesia","Medical care",0.34
1996,"Compensated cross-price elasticity with change in food prices","Indonesia","Other",0.33
1996,"Compensated cross-price elasticity with change in food prices","Indonesia","Recreation",0.38
1996,"Compensated cross-price elasticity with change in food prices","Indonesia","Transport & communication",0.29
1996,"Compensated cross-price elasticity with change in food prices","Iran","Clothing & footwear",0.14
1996,"Compensated cross-price elasticity with change in food prices","Iran","Education",0.17
1996,"Compensated cross-price elasticity with change in food prices","Iran","Gross rent, fuel & power",0.19
1996,"Compensated cross-price elasticity with change in food prices","Iran","House furnishing & operations",0.19
1996,"Compensated cross-price elasticity with change in food prices","Iran","Medical care",0.21
